Polytope ID #	Polytope # (within H11)	Basis from Toric Divisors	Toric from Basis Divisors	CY 2nd Chern Class (Basis)	CY Intersection Polynomial (Basis)	CY Intersection Tensor (Basis)
42	1	{{J1,D3},{J2,D4},{J3,D7}}	{{J1,D1},{J2,D2},{J1,D3},{J2,D4},{4*J2+2*J3,D5},{-2*J1+2*J2+J3,D6},{J3,D7}}	4*J1*J2+2*J1*J3+22*J2*J3+5*J3^2	J1*J2*J3-2*J1*J3^2+2*J2*J3^2-8*J3^3	{{{0,0,0},{0,0,1},{0,1,-2}},{{0,0,1},{0,0,0},{1,0,2}},{{0,1,-2},{1,0,2},{-2,2,-8}}}
43	2	{{J1,D3},{J2,D4},{J3,D7}}	{{-J1+2*J2+J3,D1},{-J1+2*J2+J3,D2},{J1,D3},{J2,D4},{-2*J1+4*J2+2*J3,D5},{-3*J1+3*J2+J3,D6},{J3,D7}}	10*J1^2+116/3*J2*J3+14*J3^2	J1^3+J2^3-3*J2^2*J3+9*J2*J3^2-24*J3^3	{{{1,0,0},{0,0,0},{0,0,0}},{{0,0,0},{0,1,-3},{0,-3,9}},{{0,0,0},{0,-3,9},{0,9,-24}}}
44	3	{{J1,D3},{J2,D6},{J3,D7}}	{{-J1+2*J2+J3,D1},{-J1+2*J2+J3,D2},{J1,D3},{-3*J1+4*J2+2*J3,D4},{-2*J1+3*J2+J3,D5},{J2,D6},{J3,D7}}	10*J1^2+116/3*J2*J3+14*J3^2	J1^3+J2^3-3*J2^2*J3+9*J2*J3^2-24*J3^3	{{{1,0,0},{0,0,0},{0,0,0}},{{0,0,0},{0,1,-3},{0,-3,9}},{{0,0,0},{0,-3,9},{0,9,-24}}}
44	3	{{J1,D3},{J2,D6},{J3,D7}}	{{-J1+2*J2+J3,D1},{-J1+2*J2+J3,D2},{J1,D3},{-3*J1+4*J2+2*J3,D4},{-2*J1+3*J2+J3,D5},{J2,D6},{J3,D7}}	5/2*J2^2+187/18*J2*J3+10/9*J3^2	-11*J1^3-6*J1^2*J2-6*J1*J2^2-5*J2^3+6*J1*J2*J3+3*J2^2*J3-12*J1*J3^2+3*J2*J3^2-24*J3^3	{{{-11,-6,0},{-6,-6,6},{0,6,-12}},{{-6,-6,6},{-6,-5,3},{6,3,3}},{{0,6,-12},{6,3,3},{-12,3,-24}}}
44	3	{{J1,D3},{J2,D6},{J3,D7}}	{{-J1+2*J2+J3,D1},{-J1+2*J2+J3,D2},{J1,D3},{-3*J1+4*J2+2*J3,D4},{-2*J1+3*J2+J3,D5},{J2,D6},{J3,D7}}	-43/3*J1*J3+86/3*J2*J3+32/3*J3^2	-5*J1^3+J2^3-6*J1^2*J3-3*J2^2*J3-6*J1*J3^2+9*J2*J3^2-30*J3^3	{{{-5,0,-6},{0,0,0},{-6,0,-6}},{{0,0,0},{0,1,-3},{0,-3,9}},{{-6,0,-6},{0,-3,9},{-6,9,-30}}}
45	4	{{J1,D4},{J2,D6},{J3,D7}}	{{-J1+J3,D1},{-J1+J3,D2},{J1,D3},{J1,D4},{4*J1+J2-2*J3,D5},{J2,D6},{J3,D7}}	-2*J1^2+14*J1*J3+6*J2*J3-3*J3^2	-J1^3+4*J1^2*J2-6*J1*J2^2+8*J2^3+5*J1*J2*J3-8*J2^2*J3+2*J1*J3^2+6*J2*J3^2+4*J3^3	{{{-1,4,0},{4,-6,5},{0,5,2}},{{4,-6,5},{-6,8,-8},{5,-8,6}},{{0,5,2},{5,-8,6},{2,6,4}}}
46	5	{{J1,D3},{J2,D5},{J3,D7}}	{{2*J1-J2+J3,D1},{2*J1-J2+J3,D2},{J1,D3},{3*J1-J2+J3,D4},{J2,D5},{4*J1-2*J2+2*J3,D6},{J3,D7}}	-44/3*J1*J2+4*J2^2+116/3*J1*J3+14*J3^2	J1^3+2*J2^3-3*J1^2*J3+9*J1*J3^2-24*J3^3	{{{1,0,-3},{0,0,0},{-3,0,9}},{{0,0,0},{0,2,0},{0,0,0}},{{-3,0,9},{0,0,0},{9,0,-24}}}
47	6	{{J1,D3},{J2,D6},{J3,D7}}	{{-J1+J2-J3,D1},{2*J1-J2+J3,D2},{J1,D3},{-4*J1+3*J2-2*J3,D4},{-2*J1+2*J2-J3,D5},{J2,D6},{J3,D7}}	-10*J1*J2+10*J2^2-2*J2*J3-2*J3^2	-J1^3+4*J1*J2^2+7*J2^3+J1^2*J3+4*J1*J2*J3+3*J1*J3^2-8*J2*J3^2-16*J3^3	{{{-1,0,1},{0,4,4},{1,4,3}},{{0,4,4},{4,7,0},{4,0,-8}},{{1,4,3},{4,0,-8},{3,-8,-16}}}
48	7	{{J1,D3},{J2,D6},{J3,D7}}	{{-J1+J2,D1},{J1-J2+J3,D2},{J1,D3},{2*J1-J2+J3,D4},{3*J1-2*J2+J3,D5},{J2,D6},{J3,D7}}	10*J1^2-2*J1*J2-2*J2^2+14*J2*J3-12*J3^2	-4*J1^3-4*J1^2*J2-4*J1*J2^2-5*J2^3+3*J1^2*J3+4*J1*J2*J3+4*J2^2*J3+J1*J3^2-J3^3	{{{-4,-4,3},{-4,-4,4},{3,4,1}},{{-4,-4,4},{-4,-5,4},{4,4,0}},{{3,4,1},{4,4,0},{1,0,-1}}}
48	7	{{J1,D3},{J2,D6},{J3,D7}}	{{-J1+J2,D1},{J1-J2+J3,D2},{J1,D3},{2*J1-J2+J3,D4},{3*J1-2*J2+J3,D5},{J2,D6},{J3,D7}}	10*J1^2-2*J2^2+18*J1*J3-4*J2*J3+6*J3^2	-J2^3-J1^2*J3+5*J1*J3^2+4*J2*J3^2-5*J3^3	{{{0,0,-1},{0,0,0},{-1,0,5}},{{0,0,0},{0,-1,0},{0,0,4}},{{-1,0,5},{0,0,4},{5,4,-5}}}
49	8	{{J1,D5},{J2,D6},{J3,D7}}	{{-J2+J3,D1},{-2*J1-J2+2*J3,D2},{J1+J2-J3,D3},{J1+2*J2-J3,D4},{J1,D5},{J2,D6},{J3,D7}}	-3*J1^2-1/2*J2^2+8*J1*J3+7*J2*J3-2*J3^2	-2*J1^3+2*J1^2*J2+2*J1*J2^2+J1^2*J3+3*J1*J2*J3+2*J2^2*J3+3*J1*J3^2+4*J2*J3^2+5*J3^3	{{{-2,2,1},{2,2,3},{1,3,3}},{{2,2,3},{2,0,2},{3,2,4}},{{1,3,3},{3,2,4},{3,4,5}}}
50	9	{{J1,D2},{J2,D4},{J3,D7}}	{{J1,D1},{J1,D2},{J2,D3},{J2,D4},{2*J1+J3,D5},{4*J1+2*J2+2*J3,D6},{J3,D7}}	24*J1*J2+5*J2^2+12*J2*J3-6*J3^2	J1*J2*J3-2*J2*J3^2	{{{0,0,0},{0,0,1},{0,1,0}},{{0,0,1},{0,0,0},{1,0,-2}},{{0,1,0},{1,0,-2},{0,-2,0}}}
51	10	{{J1,D5},{J2,D6},{J3,D7}}	{{-2*J1+2*J2+J3,D1},{J1,D2},{J1,D3},{J2,D4},{J1,D5},{J2,D6},{J3,D7}}	-3*J1^2+8*J1*J2+10*J2*J3+3*J3^2	2*J1^2*J2+5*J1*J2*J3-10*J1*J3^2+10*J2*J3^2-40*J3^3	{{{0,2,0},{2,0,5},{0,5,-10}},{{2,0,5},{0,0,0},{5,0,10}},{{0,5,-10},{5,0,10},{-10,10,-40}}}
52	11	{{J1,D4},{J2,D5},{J3,D6}}	{{J3,D1},{J2,D2},{J1,D3},{J1,D4},{J2,D5},{J3,D6},{2*J1+2*J2+2*J3,D7}}	5*J1^2+12*J1*J2+12*J1*J3+12*J2*J3	J1*J2*J3	{{{0,0,0},{0,0,1},{0,1,0}},{{0,0,1},{0,0,0},{1,0,0}},{{0,1,0},{1,0,0},{0,0,0}}}
53	12	{{J1,D3},{J2,D4},{J3,D7}}	{{J2,D1},{J1,D2},{J1,D3},{J2,D4},{2*J2+J3,D5},{-2*J1+2*J2+J3,D6},{J3,D7}}	4*J1*J2+2*J1*J3+14*J2*J3+3*J3^2	3*J1*J2*J3-6*J1*J3^2+6*J2*J3^2-24*J3^3	{{{0,0,0},{0,0,3},{0,3,-6}},{{0,0,3},{0,0,0},{3,0,6}},{{0,3,-6},{3,0,6},{-6,6,-24}}}
54	13	{{J1,D2},{J2,D6},{J3,D7}}	{{J1,D1},{J1,D2},{J2,D3},{2*J1-J2+J3,D4},{2*J1-J2+J3,D5},{J2,D6},{J3,D7}}	4*J1*J2+14*J1*J3+2*J2*J3+3*J3^2	3*J1*J2*J3+6*J1*J3^2-6*J2*J3^2-24*J3^3	{{{0,0,0},{0,0,3},{0,3,6}},{{0,0,3},{0,0,0},{3,0,-6}},{{0,3,6},{3,0,-6},{6,-6,-24}}}
54	13	{{J1,D2},{J2,D6},{J3,D7}}	{{J1,D1},{J1,D2},{J2,D3},{2*J1-J2+J3,D4},{2*J1-J2+J3,D5},{J2,D6},{J3,D7}}	-J2^2+18*J1*J3+4*J3^2	-6*J2^3+3*J1*J2*J3+6*J1*J3^2-6*J2*J3^2-24*J3^3	{{{0,0,0},{0,0,3},{0,3,6}},{{0,0,3},{0,-6,0},{3,0,-6}},{{0,3,6},{3,0,-6},{6,-6,-24}}}
55	14	{{J1,D5},{J2,D6},{J3,D7}}	{{2*J1-J2+J3,D1},{2*J1-J2+J3,D2},{-4*J1+3*J2-2*J3,D3},{-J1+J2-J3,D4},{J1,D5},{J2,D6},{J3,D7}}	4*J1*J2-2*J2^2+9*J2*J3-4*J3^2	3*J1^2*J2+9*J1*J2^2+13*J2^3+3*J1^2*J3+6*J1*J2*J3+3*J1*J3^2-12*J2*J3^2-24*J3^3	{{{0,3,3},{3,9,6},{3,6,3}},{{3,9,6},{9,13,0},{6,0,-12}},{{3,6,3},{6,0,-12},{3,-12,-24}}}
56	15	{{J1,D4},{J2,D6},{J3,D7}}	{{-J1+J2,D1},{-J1+J2,D2},{J1-J2+J3,D3},{J1,D4},{3*J1-2*J2+J3,D5},{J2,D6},{J3,D7}}	-2*J1^2+9*J1*J2-4*J2^2+8*J2*J3-2*J3^2	-5*J1^3-6*J1^2*J2-6*J1*J2^2-6*J2^3+3*J1^2*J3+6*J1*J2*J3+9*J2^2*J3+3*J1*J3^2+3*J2*J3^2	{{{-5,-6,3},{-6,-6,6},{3,6,3}},{{-6,-6,6},{-6,-6,9},{6,9,3}},{{3,6,3},{6,9,3},{3,3,0}}}
56	15	{{J1,D4},{J2,D6},{J3,D7}}	{{-J1+J2,D1},{-J1+J2,D2},{J1-J2+J3,D3},{J1,D4},{3*J1-2*J2+J3,D5},{J2,D6},{J3,D7}}	-2*J1^2-4*J2^2+5*J1*J3+3*J2*J3+3*J3^2	J1^3-3*J1^2*J3+3*J2^2*J3+9*J1*J3^2+9*J2*J3^2-6*J3^3	{{{1,0,-3},{0,0,0},{-3,0,9}},{{0,0,0},{0,0,3},{0,3,9}},{{-3,0,9},{0,3,9},{9,9,-6}}}
57	16	{{J1,D1},{J2,D6},{J3,D7}}	{{J1,D1},{-4*J1+J2-2*J3,D2},{2*J1+J3,D3},{3*J1+J3,D4},{-2*J1+J2-J3,D5},{J2,D6},{J3,D7}}	6*J1*J2+3*J2^2+3*J2*J3+2/3*J3^2	-J1^2*J2+3*J1*J2^2+14*J2^3+3*J1*J2*J3-6*J2*J3^2	{{{0,-1,0},{-1,3,3},{0,3,0}},{{-1,3,3},{3,14,0},{3,0,-6}},{{0,3,0},{3,0,-6},{0,-6,0}}}
58	17	{{J1,D4},{J2,D6},{J3,D7}}	{{-J1+J3,D1},{-J1+J3,D2},{J1,D3},{J1,D4},{3*J1+J2-2*J3,D5},{J2,D6},{J3,D7}}	-2*J1^2+11*J1*J3+6*J2*J3-3*J3^2	-J1^3+3*J1^2*J2+J1*J2^2-5*J2^3+5*J1*J2*J3-J2^2*J3+2*J1*J3^2+7*J2*J3^2+4*J3^3	{{{-1,3,0},{3,1,5},{0,5,2}},{{3,1,5},{1,-5,-1},{5,-1,7}},{{0,5,2},{5,-1,7},{2,7,4}}}
59	18	{{J1,D5},{J2,D6},{J3,D7}}	{{J2,D1},{-J1+2*J2+J3,D2},{J1,D3},{J1,D4},{J1,D5},{J2,D6},{J3,D7}}	10*J1*J2+16*J2*J3+6*J3^2	2*J1^2*J2+4*J1*J2*J3-8*J1*J3^2+4*J2*J3^2-16*J3^3	{{{0,2,0},{2,0,4},{0,4,-8}},{{2,0,4},{0,0,0},{4,0,4}},{{0,4,-8},{4,0,4},{-8,4,-16}}}
60	19	{{J1,D5},{J2,D6},{J3,D7}}	{{-2*J1+J3,D1},{J2-J3,D2},{J1+J2-J3,D3},{J1-2*J2+2*J3,D4},{J1,D5},{J2,D6},{J3,D7}}	-3*J1^2+2*J1*J2-3*J2^2+8*J2*J3-1/2*J3^2	2*J1^2*J2+6*J1*J2^2+13*J2^3+2*J1^2*J3+5*J1*J2*J3+12*J2^2*J3+4*J1*J3^2+10*J2*J3^2+8*J3^3	{{{0,2,2},{2,6,5},{2,5,4}},{{2,6,5},{6,13,12},{5,12,10}},{{2,5,4},{5,12,10},{4,10,8}}}
61	20	{{J1,D5},{J2,D6},{J3,D7}}	{{2*J1-2*J2+J3,D1},{-J1+J3,D2},{-J1+J2,D3},{-J1+J2,D4},{J1,D5},{J2,D6},{J3,D7}}	-3*J2^2+J1*J3+5*J2*J3+3*J3^2	J1^3-2*J1^2*J3+3*J2^2*J3+4*J1*J3^2+7*J2*J3^2+6*J3^3	{{{1,0,-2},{0,0,0},{-2,0,4}},{{0,0,0},{0,0,3},{0,3,7}},{{-2,0,4},{0,3,7},{4,7,6}}}
